1001,Controloc 40mg,inhibitor pompa de proton,pentru arsuri la stomac; boala de reflux esofagian,24,varsta pacientului trebui sa fie mai mare de 17 ani,Farmecsim SRL,2020-11-20,2022-11-20,23
1002,Controloc 20mg,inhibitor pompa de proton,pentru arsuri la stomac; boala de reflux esofagian,18,varsta pacientului trebui sa fie mai mare de 17 ani,Farmecsim SRL,2020-11-20,2021-11-20,53
1003,Dicarbocalm,inhibitor pompa de proton,pentru arsuri la stomac; boala de reflux esofagian,27,varsta pacientului trebui sa fie mai mare de 17 ani,Farmecsim SRL,2020-11-20,2022-11-20,87
1004,Sedatif PC,medicament homeopat,pentru stari de agitatie,32,varsta pacientului trebuie sa fie mai mare de 13 ani,Alliance Oradea SRL,2020-10-20,2021-10-20,79
1005,Stodal sirop,medicament homeopat,pentru tuse seaca si uscata,45,varsta pacientului trebuie sa fie mai mare de 13 ani,Farmecexpert SRL,2020-03-20,2021-03-20,13
1006,Prostenal duo,OTC (eliberare fara prescriptie medicala),pentru problemele de prostata,31,varsta pacientului trebuie sa fie mai mare de 17 ani,Terapia SRL,2020-05-15,2022-05-15,46
1007,Smecta,OTC (eliberare fara prescriptie medicala),antidiaretic,34,varsta pacientului trebuie sa fie mai mare de 11 ani,Alliance Oradea SRL,2020-09-27,2022-09-27,57
1008,Otipax,OTC (eliberare fara prescriptie medicala),picaturi auriculare,28,varsta pacientului trebuie sa fie mai mare de 11 ani,Terapia SRL,2020-07-30,2021-07-30,1
1009,Dulcolax comprimat/supozitor 5mg,OTC (eliberare fara prescriptie medicala),laxativ,15,varsta pacientului trebuie sa fie mai mare de 17 ani,Farmecsim SRL,2020-06-05,2022-06-05,9
1010,Anaftin,OTC (eliberare fara prescriptie medicala),apa de gura,18,pentru bebelusi,Rofarma SRL,2020-04-14,2022-04-14,41
1011,Nenedent-baby,OTC (eliberare fara prescriptie medicala),pasta de dinti,13,pentru bebelusi,Rofarma SRL,2020-04-12,2022-04-12,32
1012,Sinulan Forte,OTC (eliberare fara prescriptie medicala),spray pentru nas,25,pentru bebelusi,Rofarma SRL,2020-01-15,2022-01-15,65
1013,Vitamina D3 solutie,OTC (eliberare fara prescriptie medicala),vitamina D3,16,pentru bebelusi,Rofarma SRL,2020-12-01,2021-12-01,87
1014,Moxifloxacina,OTC (eliberare fara prescriptie medicala),picaturi pentru ochi,22,pentru pacienti cu varsta mai mare de 13 ani,Rofarma SRL,2020-09-05,2021-09-05,33
1015,Bimagan,OTC (eliberare fara prescriptie medicala),picaturi pentru ochi,25,pentru pacienti cu varsta mai mare de 13 ani,Farmecexpert SRL,2020-10-09,2022-10-09,65
1016,Biomicin urinar,OTC (eliberare fara prescriptie medicala),pentru problemele tractului urinar,33,pentru pacientii cu varsta mai mare de 17 ani,Fares SRL,2020-11-24,2021-11-24,23
1017,Algocalmin comprimat/fiole,PRF (eliberare cu prescriptie medicala),pentru durere,16,pentru pacientii cu varsta mai mare de 13 ani,Alliance Oradea SRL,2020-12-15,2022-12-15,43
1018,Carvedilol,PRF (eliberare cu prescriptie medicala),pentru probleme cu inima; betablocant,24,pentru pacientii care au probleme cardiovasculare,Farmecexpert SRL,2020-08-07,2021-08-07,76
1019,Furosemid,PRF (eliberare cu prescriptie medicala),edeme; retinere de apa,10,pentru pacientii cu varsta mai mare de 17 ani,Terapia SRL,2020-09-16,2022-09-16,45
1020,Amitriptilina,PRF (eliberare cu prescriptie medicala),antidepresiv triciclic,60,pentru pacientii cu stare de depresie majora, Alliance Oradea SRL,2020-02-22,2021-02-22,86
1023,Dulcolax,OTC (eliberare fara prescriptie medicala),infomed1,14.0,infopacient1,infofurnizor1,Mon Nov 30 00:00:00 EET 2020,Tue Nov 30 00:00:00 EET 2021,4
